date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:21:16	3682/3682	---M--	200	added ('OK')	image/png	etag:%22e62-67467e98-9876b2af511c3b74;;;%22	https://blackfridaysupplements.store/images/logo.png	C:/Meus%20Sites/Growth/blackfridaysupplements.store/images/logo.png	(from https://blackfridaysupplements.store/)
15:21:17	708/708	---M-Z	200	added ('OK')	image/svg+xml	etag:%222c4-67467e98-ede03915e032f48c;gz%22	https://blackfridaysupplements.store/images/search-ab.svg	C:/Meus%20Sites/Growth/blackfridaysupplements.store/images/search-ab.svg	(from https://blackfridaysupplements.store/)
15:21:17	20026/20026	---M--	200	added ('OK')	image/png	etag:%224e3a-67467e98-6a0644f7e27a9d07;;;%22	https://blackfridaysupplements.store/images/s_top-whey-protein-concentrado-1kg-growth-supplements.png	C:/Meus%20Sites/Growth/blackfridaysupplements.store/images/s_top-whey-protein-concentrado-1kg-growth-supplements.png	(from https://blackfridaysupplements.store/)
15:21:17	3689/3689	---M--	200	added ('OK')	image/jpeg	etag:%22e69-67467e98-c307e1bea3af0746;;;%22	https://blackfridaysupplements.store/images/s_top-whey-protein-isolado-1kg-growth-supplements.jpg	C:/Meus%20Sites/Growth/blackfridaysupplements.store/images/s_top-whey-protein-isolado-1kg-growth-supplements.jpg	(from https://blackfridaysupplements.store/)
15:21:17	16240/16240	---M--	200	added ('OK')	image/png	etag:%223f70-67467e98-e195817d18f9481c;;;%22	https://blackfridaysupplements.store/images/s_creatina-250g-creapure-growth-supplements-1.png	C:/Meus%20Sites/Growth/blackfridaysupplements.store/images/s_creatina-250g-creapure-growth-supplements-1.png	(from https://blackfridaysupplements.store/)
15:21:17	4547/4547	---M--	200	added ('OK')	image/png	etag:%2211c3-67467e98-8fc491234478bedf;;;%22	https://blackfridaysupplements.store/images/s_multivitam-nico-120-c-ps-nova-f-rmula-growth-supplements.png	C:/Meus%20Sites/Growth/blackfridaysupplements.store/images/s_multivitam-nico-120-c-ps-nova-f-rmula-growth-supplements.png	(from https://blackfridaysupplements.store/)
15:21:18	6376/6376	---M--	200	added ('OK')	image/png	etag:%2218e8-67467e98-adf32466761716a2;;;%22	https://blackfridaysupplements.store/images/s_l-glutamina-250g-growth-supplements.png	C:/Meus%20Sites/Growth/blackfridaysupplements.store/images/s_l-glutamina-250g-growth-supplements.png	(from https://blackfridaysupplements.store/)
15:21:18	584/584	---M--	200	added ('OK')	image/png	etag:%22248-67467e98-6c424a0cb64fae59;;;%22	https://blackfridaysupplements.store/images/icone-usuario-ab.png	C:/Meus%20Sites/Growth/blackfridaysupplements.store/images/icone-usuario-ab.png	(from https://blackfridaysupplements.store/)
15:21:18	709/709	---M--	200	added ('OK')	image/png	etag:%222c5-67467e98-2fca43939865c971;;;%22	https://blackfridaysupplements.store/images/icone-faleConosco-ab.png	C:/Meus%20Sites/Growth/blackfridaysupplements.store/images/icone-faleConosco-ab.png	(from https://blackfridaysupplements.store/)
15:21:18	1290/1290	---M-Z	200	added ('OK')	image/svg+xml	etag:%2250a-67467e98-c566d80637fbca66;gz%22	https://blackfridaysupplements.store/images/msg.svg	C:/Meus%20Sites/Growth/blackfridaysupplements.store/images/msg.svg	(from https://blackfridaysupplements.store/)
15:21:19	1014/1014	---M-Z	200	added ('OK')	image/svg+xml	etag:%223f6-67467e98-7f287be2bf42d30;gz%22	https://blackfridaysupplements.store/images/atencao.svg	C:/Meus%20Sites/Growth/blackfridaysupplements.store/images/atencao.svg	(from https://blackfridaysupplements.store/)
15:21:19	868/868	---M-Z	200	added ('OK')	image/svg+xml	etag:%22364-67467e98-a27c1b1295cd8e10;gz%22	https://blackfridaysupplements.store/images/cart-ab.svg	C:/Meus%20Sites/Growth/blackfridaysupplements.store/images/cart-ab.svg	(from https://blackfridaysupplements.store/)
